Name;Subproject;Code flash;Code flash extended;Data flash;Primary local RAM;Retention RAM
Adc.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Adc\src;136;0;0;28;0
Adc_PBcfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;44;0;0;0;0
Adc_Prv_6_LL.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Adc\src;418;0;0;4;0
Adc_SelfTest.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Adc\src;828;0;0;2;0
BswM.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;186;0;0;0;0
BswM_Appl.obj;rb_cfg_Config\rb_cfgd_ConfigDefinitions\rb_cfgc_ConfigCDG\EcuM;2;0;0;0;0
BswM_CanSM.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;164;0;0;0;0
BswM_Cfg_AC.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;538;0;0;0;0
BswM_Cfg_LE.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;544;0;0;0;0
BswM_Cfg_MRP.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;0;0;0;140;0
BswM_Cfg_RL.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;0;0;0;48;0
BswM_ComM.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;2;0;0;0;0
BswM_Dcm.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;196;0;0;0;0
BswM_Generic.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;184;0;0;0;0
BswM_PBcfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;1120;0;0;0;0
BswM_Prv.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;156;0;0;16;0
BswM_Prv_AC.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;534;0;0;0;0
BswM_Prv_AL.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;126;0;0;0;0
BswM_Prv_IntrptQueue.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;164;0;0;11;0
BswM_Prv_MRP.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;258;0;0;0;0
BswM_Prv_ProcessDeferredRequest.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;4;0;0;0;0
BswM_Prv_ProcessDelayedReqst.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;364;0;0;0;0
BswM_Prv_RL.obj;rb_ca_CoreAssets\rb_sys_SystemServices\BswM\src;246;0;0;0;0
Cal.obj;rb_ca_CoreAssets\rb_cry_CryptoStack\Cal\src;48;0;0;0;0
Cal_Hash.obj;rb_ca_CoreAssets\rb_cry_CryptoStack\Cal\src;196;0;0;0;0
Cal_Signature.obj;rb_ca_CoreAssets\rb_cry_CryptoStack\Cal\src;378;0;0;0;0
Can.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Can\src;354;0;0;9;0
CanIf_Controller.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;280;0;0;0;0
CanIf_Init.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;58;0;0;0;0
CanIf_PBcfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;820;0;0;140;0
CanIf_PduMode.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;76;0;0;0;0
CanIf_Prv.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;0;0;0;32;0
CanIf_Prv_Buffer.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;988;0;0;0;0
CanIf_RxIndication.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;318;0;0;0;0
CanIf_Transmit.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;222;0;0;0;0
CanIf_TxConfirmation.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanIf\src;328;0;0;0;0
CanNm.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;888;0;0;0;0
CanNm_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;0;0;0;60;0
CanNm_ChangeState.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;28;0;0;0;0
CanNm_GetState.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;50;0;0;0;0
CanNm_NetworkRelease.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;32;0;0;0;0
CanNm_NetworkRequest.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;22;0;0;0;0
CanNm_PBcfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;52;0;0;0;0
CanNm_PassiveStartup.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;106;0;0;0;0
CanNm_StartTransmission.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanNm\src;54;0;0;0;0
CanSM_ControllerBusoff.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;1438;0;0;0;0
CanSM_ControllerModeIndication.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;110;0;0;0;0
CanSM_GetCurrentComMode.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;74;0;0;0;0
CanSM_Init.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;826;0;0;42;0
CanSM_InternalStateTransition.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;2738;0;0;0;0
CanSM_Main.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;322;0;0;0;0
CanSM_NetworkModes.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;164;0;0;0;0
CanSM_PBcfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;41;0;0;0;0
CanSM_RequestComMode.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanSM\src;320;0;0;0;0
CanTp.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanTp\src;1240;0;0;1;0
CanTp_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;92;0;0;0;0
CanTp_Prv.obj;rb_ca_CoreAssets\rb_coms_ComStack\CanTp\src;3628;0;0;28;0
Can_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;520;0;0;0;0
ComM.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;172;0;0;37;0
ComM_BusSM_ModeIndication.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;2;0;0;0;0
ComM_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;68;0;0;0;0
ComM_CommunicationAllowed.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;18;0;0;0;0
ComM_Dcm_ActiveDiagnostic.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;20;0;0;0;0
ComM_Dcm_InactiveDiagnostic.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;18;0;0;0;0
ComM_Init.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;70;0;0;0;0
ComM_LChannelMainFunction.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;556;0;0;0;0
ComM_Main.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;6;0;0;0;0
ComM_Nm_BusSleepMode.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;70;0;0;0;0
ComM_Nm_NetworkMode.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;64;0;0;0;0
ComM_Nm_NetworkStartIndication.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;64;0;0;0;0
ComM_Nm_PrepareBusSleepMode.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;66;0;0;0;0
ComM_PBcfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;30;0;0;0;0
ComM_RequestComMode.obj;rb_ca_CoreAssets\rb_sys_SystemServices\ComM\src;124;0;0;0;0
Com_ByteCopy.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;22;0;0;0;0
Com_ByteCopyInit.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;30;0;0;0;0
Com_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;46;0;0;2;0
Com_EnableRxDm.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;254;0;0;0;0
Com_Filter.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;8;0;0;0;0
Com_Init.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;478;0;0;5;0
Com_IpduGroupStart.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;468;0;0;0;0
Com_IpduGroupStop.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;40;0;0;0;0
Com_MainFunctionRx.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;372;0;0;0;0
Com_MainFunctionTx.obj;rb_ca_CoreAssets\rb_coms_ComStack\Com\src;594;0;0;0;0
